tv-symbol;isin;description
DNA10X;DE000DNA10X3;10XDNA Disruptive Technologies R
255243;AT0000662275;3 Banken Österreich-Fonds
A0ER7P;AT0000615364;3 Banken Staatsanleihen-Fonds
986514;LU0060230025;AB International Technology A $
163701;LU0158903558;ACATIS Aktien Deutschland ELM A
978174;DE0009781740;ACATIS Aktien Global A
A1H72F;DE000A1H72F1;ACATIS Datini Valueflex B
A0X754;DE000A0X7541;ACATIS Gané Value Event A
A0X758;DE000A0X7582;ACATIS IfK Value Renten A
847160;DE0008471608;AL Trust Aktien Deutschland
933882;LU0107901315;Albrech & Cie Optiselect P
986333;LU0070176184;Alger American Asset Growth A $
A0H06Q;LU0235308482;Alken European Opportunities R
847103;DE0008471038;Allianz Adifonds A €
848186;DE0008481862;Allianz Biotechnologie A €
A1JED1;LU0665628672;Allianz China Strategic Bond A H2-€
A0KDMT;LU0256839191;Allianz Europe Equity Growth A €
A0KDMU;LU0256839274;Allianz Europe Equity Growth AT €
A0RF5H;LU0414045822;Allianz European Eq Dividend AT €
847192;DE0008471921;Allianz Flexi Rentenfonds A €
847511;DE0008475112;Allianz Fonds Japan A €
A2DKAR;LU1548497186;Allianz Glob Art Intelligence A €
A2DKAU;LU1548497699;Allianz Glob Art Intelligence AT €
847146;DE0008471467;Allianz Global Equity Dividend A €
A1JFWE;LU0604766674;Allianz Global Metals&Mining AT €
A1JV7V;LU0766462104;Allianz Income and Growth A H2 €
847507;DE0008475070;Allianz Interglobal A €
847191;DE0008471913;Allianz Mobil-Fonds A €
848176;DE0008481763;Allianz Nebenwerte Deutschland A €
847140;DE0008471400;Allianz Rentenfonds A €
847509;DE0008475096;Allianz Rohstofffonds A €
A2AQF1;LU1479563717;Allianz Thematica A €
847501;DE0008475013;Allianz Thesaurus AT €
847506;DE0008475062;Allianz Vermögensb. Deutschland A €
978984;DE0009789842;Allianz Wachstum Euroland A €
848182;DE0008481821;Allianz Wachstum Europa A €
A0BKM9;LU0181454132;Alpen Privatbank German Select R
977988;DE0009779884;Amundi Aktien Rohstoffe A € ND
988044;AT0000857412;Amundi Austria Stock A (D)
534304;LU0149168907;Amundi Total Return A € DA
532431;DE0005324313;apo Forte INKA R
A0NEKQ;DE000A0NEKQ8;Aramea Rendite Plus A
DWS0R4;LU0360863863;ARERO - DER WELTFONDS
DWS26Y;LU2114851830;ARERO Der Weltfonds Nachhaltig LC
