tv-symbol;isin;description
103071;DE0001030716;BUNDESOBL.V.20/25
110237;DE0001102374;BUNDANL.V.15/25
110238;DE0001102382;BUNDANL.V.15/25
110239;DE0001102390;BUNDANL.V.16/26
110241;DE0001102416;BUNDANL.V.17/27
110242;DE0001102424;BUNDANL.V.17/27
110244;DE0001102440;BUNDANL.V.18/28
110245;DE0001102457;BUNDANL.V.18/28
110246;DE0001102465;BUNDANL.V.19/29
110248;DE0001102481;BUNDANL.V.19/50
110249;DE0001102499;BUNDANL.V.20/30
110252;DE0001102523;BUNDANL.V.20/27
110253;DE0001102531;BUNDANL.V.21/31
110260;DE0001102606;BUNDANL.V.22/32
110262;DE0001102622;BUNDANL.V.22/29
113504;DE0001135044;DBR 6 1/2 07/04/27
113506;DE0001135069;DBR 5 5/8 01/04/28
113508;DE0001135085;DBR 4 3/4 07/04/28
113514;DE0001135143;DBR 6 1/4 01/04/30
113517;DE0001135176;DBR 5 1/2 01/04/31
113522;DE0001135226;DBR 4 3/4 07/04/34
113527;DE0001135275;DBR 4 01/04/37
113532;DE0001135325;DBR 4 1/4 07/04/39
113536;DE0001135366;BUNDANL.V. 08/40
113543;DE0001135432;DBR 3 1/4 07/04/42
114181;DE0001141810;BUNDESOBL.V.20/25 S.181
114182;DE0001141828;BUNDESOBL.V.20/25 S.182
114183;DE0001141836;BUNDESOBL.V.21/26 S.183
114184;DE0001141844;BUNDESOBL.V.21/26 S.184
114185;DE0001141851;BUNDESOBL.V.22/27 S.185
114186;DE0001141869;BUNDESOBL.V.22/27 S.186
120069;US4642875318;ISHSTR-N.A.TE.-MU.NET.ETF
120071;GB0031215220;CARNIVAL PLC DL 1,66
120100;PA1436583006;CARNIVAL PAIRED CTF
120159;US64049M2098;NEOGENOMICSINC. DL-,001
120468;ID1000094204;PT BK DANAMON TBK RP50000
120470;IT0003497168;TELECOM ITALIA
120471;IT0003497176;TELECOM ITALIA RNC
120504;CA55378N1078;MTY FOOD GROUP INC.
120882;TH0662010014;INTERNET THAILAND PCL REG. SHS (FOREIGN) BA 1
121065;PLLPP0000011;LPP S.A. ZY 2
121221;US88224Q1076;TEXAS CAP.BANCSHS DL-,01
121232;TH0371010R13;SUPALAI PCL REG. SHS (NVDRS) BA 1
121488;GRS470003013;PIRAEUS PORT AUTH. NAM.
121806;DE0001218063;HELIAD AG NA O.N.
121843;US7163821066;PETMED EXPRES.INC DL-,001
121862;AU000000FMG4;FORTESCUE METALS GRP-
126215;DE0001262152;B+S BANKSYSTEME AG O.N.
132962;EE3100003443;AS TRIGON PPTY DEV. O.N.
134590;DE0001345908;EUROP. INV.BK 96/26ZO
135655;GB0032036807;ECO ANIMAL HLTH GR.LS-,05
136003;TH0003010Z12;SIAM CEMENT PCL
157021;AU000000HZN8;HORIZON OIL LTD.
157084;CA51669T1012;LARAMIDE RESOURCES LTD.
157484;US20030N1019;COMCAST
157493;US0193301092;ALLIED MOTION TECHS DL-01
157700;SG1M77906915;ASCENDAS REAL ESTATE INV.TRUST
157756;CA30710P1027;FANCAMP EXPLORATION LTD
157770;CH0014786500;VALIANT HOLDING
