"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"14D","1414 DEGREES LIMITED","Capital Goods","12/09/2018",5755580
"1AD","ADALTA LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","22/08/2016",4502559
"1AE","AURORA ENERGY METALS LIMITED","Materials","18/05/2022",7520677
"1AI","ALGORAE PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","01/09/2004",8436974
"1CG","ONE CLICK GROUP LIMITED","Capital Goods","28/04/2017",8834099
"1MC","MORELLA CORPORATION LIMITED","Materials","08/01/2001",6605310
"1TT","THRIVE TRIBE TECHNOLOGIES LIMITED","Software & Services","09/07/2015",3047585
"29M","29METALS LIMITED","Materials","02/07/2021",157652627
"360","LIFE360 INC.","Software & Services","10/05/2019",4142655559
"3DA","AMAERO LTD","Capital Goods","06/12/2019",151808666
"3DP","POINTERRA LIMITED","Software & Services","27/03/2008",57160453
"3PL","3P LEARNING LIMITED..","Consumer Services","09/07/2014",215596152
"4DS","4DS MEMORY LIMITED","Semiconductors & Semiconductor Equipment","09/12/2010",52060413
"4DX","4DMEDICAL LIMITED","Health Care Equipment & Services","07/08/2020",117108955
"5EA","5E ADVANCED MATERIALS INC.","Materials","01/03/2022",105276571
"5GG","PENTANET LIMITED","Telecommunication Services","29/01/2021",12995150
"5GN","5G NETWORKS LIMITED.","Software & Services","14/12/1999",42076449
"88E","88 ENERGY LIMITED","Energy","20/01/2000",28933812
"8CO","8COMMON LIMITED","Software & Services","27/08/2014",3585518
"8IH","8I HOLDINGS LTD","Financial Services","17/12/2014",3133448
"A11","ATLANTIC LITHIUM LIMITED","Materials","26/09/2022",117835043
"A1G","AFRICAN GOLD LTD.","Materials","14/02/2019",50402082
"A1M","AIC MINES LIMITED","Materials","04/11/1993",172704792
"A1N","ARN MEDIA LIMITED","Media & Entertainment","07/05/1992",181569216
"A2M","THE A2 MILK COMPANY LIMITED","Food, Beverage & Tobacco","31/03/2015",5654589312
"A3D","AURORA LABS LIMITED","Capital Goods","16/08/2016",21985829
"A4N","ALPHA HPA LIMITED","Materials","22/10/2007",806826742
"A8G","AUSTRALASIAN METALS LIMITED","Materials","13/05/2021",3762832
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","Food, Beverage & Tobacco","10/08/2001",846887280
"AAI","ALCOA CORPORATION","Materials","24/07/2024",10705084050
"AAJ","ARUMA RESOURCES LIMITED","Materials","23/07/2010",2220582
"AAL","ALFABS AUSTRALIA LIMITED","Capital Goods","28/06/2024",96006981
"AAM","AUMEGA METALS LTD","Materials","08/03/2017",25070691
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","Food, Beverage & Tobacco","07/01/2004",15112752
"AAR","ASTRAL RESOURCES NL","Materials","13/11/1986",202549092
"AAU","ANTILLES GOLD LIMITED","Materials","25/11/1993",8505471
"ABB","AUSSIE BROADBAND LIMITED","Telecommunication Services","16/10/2020",1126705735
"ABE","AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED","Financial Services","06/12/2021",4594342
"ABG","ABACUS GROUP","Equity Real Estate Investment Trusts (REITs)","14/11/2002",991959973
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","Automobiles & Components","28/05/2002",28875571
"ABX","ABX GROUP LIMITED","Materials","24/12/2009",9761444
"ABY","ADORE BEAUTY GROUP LIMITED","Consumer Discretionary Distribution & Retail","23/10/2020",66240339
"ACE","ACUSENSUS LIMITED.","Software & Services","12/01/2023",137225345
"ACF","ACROW LIMITED","Capital Goods","27/06/2008",310281715
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","Health Care Equipment & Services","14/05/2021",608123145
"ACM","AUSTRALIAN CRITICAL MINERALS LIMITED","Materials","03/07/2023",3090719
"ACP","AUDALIA RESOURCES LIMITED","Materials","06/07/2011",15842724
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","Not Applic","01/05/2014",64298100
"ACR","ACRUX LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","29/09/2004",10182880
"ACS","ACCENT RESOURCES NL","Materials","26/08/2005",2838764
"ACU","ACUMENTIS GROUP LIMITED","Real Estate Management & Development","05/12/2003",16609128
"ACW","ACTINOGEN MEDICAL LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","16/10/2007",95314417
"AD1","ADNEO LIMITED","Media & Entertainment","23/06/2016",8052382
"AD8","AUDINATE GROUP LIMITED","Technology Hardware & Equipment","30/06/2017",470136830
"ADC","ACDC METALS LTD","Materials","17/01/2023",3364881
"ADD","ADAVALE RESOURCES LIMITED","Energy","06/02/1992",4574558
"ADG","ADELONG GOLD LIMITED","Materials","21/03/2007",6987431
"ADH","ADAIRS LIMITED","Consumer Discretionary Distribution & Retail","17/06/2015",355251555
"ADN","ANDROMEDA METALS LIMITED","Materials","17/09/1996",24001094
"ADO","ANTEOTECH LTD","Pharmaceuticals, Biotechnology & Life Sciences","07/04/2000",32463604
"ADR","ADHERIUM LIMITED","Health Care Equipment & Services","26/08/2015",6065482
"ADS","ADSLOT LTD.","Software & Services","17/12/1987",5377301
"ADT","ADRIATIC METALS PLC","Materials","01/05/2018",1301763255
"ADV","ARDIDEN LTD","Materials","25/10/2005",8752451
"ADX","ADX ENERGY LTD","Energy","29/01/1987",14954922
"ADY","ADMIRALTY RESOURCES NL.","Materials","01/12/1983",13147397
"AEE","AURA ENERGY LIMITED","Energy","30/05/2006",100402296
"AEF","AUSTRALIAN ETHICAL INVESTMENT LIMITED","Financial Services","17/12/2002",579575050
"AEI","AERIS ENVIRONMENTAL LTD","Commercial & Professional Services","12/09/2000",13037711
"AEL","AMPLITUDE ENERGY LIMITED","Energy","13/03/2002",450739364
"AER","AEERIS LTD","Media & Entertainment","01/04/2015",4113136
"AEV","AVENIRA LIMITED","Materials","10/10/2006",28598797
"AFA","ASF GROUP LIMITED","Financial Services","29/05/1985",3169590
"AFG","AUSTRALIAN FINANCE GROUP LTD","Financial Services","22/05/2015",422399710
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","Not Applic","30/06/1962",8715707242
"AFL","AF LEGAL GROUP LTD","Commercial & Professional Services","19/09/2003",9129920
"AFP","AFT PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","22/12/2015",238046410
"AGC","AUSTRALIAN GOLD AND COPPER LTD","Materials","20/01/2021",37206597
"AGD","AUSTRAL GOLD LIMITED","Materials","18/04/1997",30615568
"AGE","ALLIGATOR ENERGY LIMITED","Energy","09/04/2025",100713583
