cik,symbol
1750,NYSE:AIR
1800,NYSE:ABT
1961,OTC:WDDD
2230,NYSE:ADX
2488,NASDAQ:AMD
2809,TSX:AEM
2969,NYSE:APD
3197,NASDAQ:CECO
3453,NYSE:MATX
3499,NYSE:ALX
3545,NASDAQ:ALCO
3570,NYSE:LNG
4127,NASDAQ:SWKS
4281,NYSE:HWM
4447,NYSE:HES
4457,NYSE:UHAL
4904,NASDAQ:AEP
4962,NYSE:AXP
4977,NYSE:AFL
5094,NYSE:VBF
5272,NYSE:AIG
5513,NYSE:UNM
5981,NYSE:AVD
6176,NYSE:AP
6201,NASDAQ:AAL
6207,NYSE:AXR
6281,NASDAQ:ADI
6494,OTC:ANDR
6845,NASDAQ:APOG
6951,NASDAQ:AMAT
6955,NYSE:EPAC
7084,NYSE:ADM
7323,NYSE:EAI
7332,NYSE:SWN
7431,NYSE:AWI
7536,NYSE:ARW
7623,NASDAQ:ARTW
7789,NYSE:ASB
8063,NASDAQ:ATRO
8146,NASDAQ:ALOT
8177,NASDAQ:AAME
8670,NASDAQ:ADP
8818,NYSE:AVY
8858,NASDAQ:AVT
8947,NYSE:AZZ
9092,NYSE:BMI
9326,NASDAQ:BCPC
9389,NYSE:BALL
9631,TSX:BNS
9984,NYSE:B
10329,NASDAQ:BSET
10456,NYSE:BAX
10795,NYSE:BDX
11544,NYSE:WRB
12208,NYSE:BIO
12239,NASDAQ:DOMH
12659,NYSE:HRB
12927,NYSE:BA
13156,OTC:GLXZ
13372,OTC:NSARO
14177,NASDAQ:BRID
14272,NYSE:BMY
14707,NYSE:CAL
14846,NYSE:BRT
14930,NYSE:BC
15615,NYSE:MTZ
15847,OTC:BUKS
16040,NYSE:CBT
16058,NYSE:CACI
16160,NASDAQ:CALM
16732,NASDAQ:CPB
16859,NYSE:SRL
16868,TSX:CNR
16875,TSX:CP
16918,NYSE:STZ
16988,TSE:7751
17313,NASDAQ:CSWC
17843,NYSE:CRS
18230,NYSE:CAT
18255,NYSE:CATO
18349,NYSE:SNV
18498,NYSE:GCO
18654,OTC:AILLP
18926,NYSE:LUMN
19584,NYSE:CHE
19617,NYSE:JPM
19745,NYSE:CPK
20212,NASDAQ:CHDN
20286,NASDAQ:CINF
20520,NASDAQ:FYBR
20639,OTC:ABCP
21076,NYSE:CLX
21175,NYSE:CNA
21344,NYSE:KO
21535,NASDAQ:COHU
21665,NYSE:CL
22356,NASDAQ:CBSH
22444,NYSE:CMC
22701,NASDAQ:PEGY
23194,NYSE:CRK
23197,NASDAQ:CMTL
23217,NYSE:CAG
23426,OTC:CNLPL
23795,NYSE:CTO
24090,NYSE:CIA
24545,NYSE:TAP
24741,NYSE:GLW
25232,NYSE:CUZ
25445,NYSE:CXT
25743,NASDAQ:TXMD
25895,NASDAQ:CRWS
26058,NYSE:CTS
26172,NYSE:CMI
26324,NYSE:CW
26780,NYSE:DAN
27093,NASDAQ:USAU
