"currency-id","typespecs"
"XTVC$BULL","${symbolinfo.typespecs},defi"
"XTVC1ART","${symbolinfo.typespecs},defi"
"XTVC1INCH","${symbolinfo.typespecs},defi"
"XTVC1R0R","${symbolinfo.typespecs},defi"
"XTVCA","${symbolinfo.typespecs},defi"
"XTVCAAPLX","${symbolinfo.typespecs},defi"
"XTVCAAVE","${symbolinfo.typespecs},defi"
"XTVCAAZ","${symbolinfo.typespecs},defi"
"XTVCABEL","${symbolinfo.typespecs},defi"
"XTVCABEL","${symbolinfo.typespecs},defi"
"XTVCABOND","${symbolinfo.typespecs},defi"
"XTVCABT","${symbolinfo.typespecs},defi"
"XTVCABYS","${symbolinfo.typespecs},defi"
"XTVCACA","${symbolinfo.typespecs},defi"
"XTVCACS","${symbolinfo.typespecs},defi"
"XTVCACT","${symbolinfo.typespecs},defi"
"XTVCACX","${symbolinfo.typespecs},defi"
"XTVCADX","${symbolinfo.typespecs},defi"
"XTVCAE","${symbolinfo.typespecs},defi"
"XTVCAERGO","${symbolinfo.typespecs},defi"
"XTVCAERO","${symbolinfo.typespecs},defi"
"XTVCAETHUSDT","${symbolinfo.typespecs},defi"
"XTVCAETHWETH","${symbolinfo.typespecs},defi"
"XTVCAGI","${symbolinfo.typespecs},defi"
"XTVCAGT","${symbolinfo.typespecs},defi"
"XTVCAGVE","${symbolinfo.typespecs},defi"
"XTVCAI","${symbolinfo.typespecs},defi"
"XTVCAIA","${symbolinfo.typespecs},defi"
"XTVCAIFI","${symbolinfo.typespecs},defi"
"XTVCALCX","${symbolinfo.typespecs},defi"
"XTVCALI","${symbolinfo.typespecs},defi"
"XTVCALICE","${symbolinfo.typespecs},defi"
"XTVCALLBTC","${symbolinfo.typespecs},defi"
"XTVCALPACA","${symbolinfo.typespecs},defi"
"XTVCALPH","${symbolinfo.typespecs},defi"
"XTVCALPHA","${symbolinfo.typespecs},defi"
"XTVCALPHA","${symbolinfo.typespecs},defi"
"XTVCAMAPT","${symbolinfo.typespecs},defi"
"XTVCAMB","${symbolinfo.typespecs},defi"
"XTVCAMBRX","${symbolinfo.typespecs},defi"
"XTVCAME","${symbolinfo.typespecs},defi"
"XTVCAMI","${symbolinfo.typespecs},defi"
"XTVCAMPL","${symbolinfo.typespecs},defi"
"XTVCAMU","${symbolinfo.typespecs},defi"
"XTVCAMZNX","${symbolinfo.typespecs},defi"
"XTVCANDURL","${symbolinfo.typespecs},defi"
"XTVCANI","${symbolinfo.typespecs},defi"
"XTVCANKR","${symbolinfo.typespecs},defi"
"XTVCANKRBNB","${symbolinfo.typespecs},defi"
"XTVCANKRETH","${symbolinfo.typespecs},defi"
"XTVCANKRMATIC","${symbolinfo.typespecs},defi"
"XTVCANLOG","${symbolinfo.typespecs},defi"
"XTVCANTHRP","${symbolinfo.typespecs},defi"
"XTVCANY","${symbolinfo.typespecs},defi"
"XTVCAOG","${symbolinfo.typespecs},defi"
"XTVCAPEX","${symbolinfo.typespecs},defi"
"XTVCAPI3","${symbolinfo.typespecs},defi"
"XTVCAPTR","${symbolinfo.typespecs},defi"
"XTVCAPX","${symbolinfo.typespecs},defi"
"XTVCAPYS","${symbolinfo.typespecs},defi"
"XTVCARCAS","${symbolinfo.typespecs},defi"
"XTVCARCH","${symbolinfo.typespecs},defi"
"XTVCAREA","${symbolinfo.typespecs},defi"
"XTVCARPA","${symbolinfo.typespecs},defi"
"XTVCARRR","${symbolinfo.typespecs},defi"
"XTVCASBNB","${symbolinfo.typespecs},defi"
"XTVCASCAKE","${symbolinfo.typespecs},defi"
"XTVCASF","${symbolinfo.typespecs},defi"
"XTVCASP","${symbolinfo.typespecs},defi"
"XTVCAST","${symbolinfo.typespecs},defi"
"XTVCASTER","${symbolinfo.typespecs},defi"
"XTVCASTO","${symbolinfo.typespecs},defi"
"XTVCASUSDF","${symbolinfo.typespecs},defi"
"XTVCATA","${symbolinfo.typespecs},defi"
"XTVCATOM","${symbolinfo.typespecs},defi"
"XTVCAUC","${symbolinfo.typespecs},defi"
"XTVCAUCTION","${symbolinfo.typespecs},defi"
"XTVCAUTO","${symbolinfo.typespecs},defi"
"XTVCAVAIL","${symbolinfo.typespecs},defi"
"XTVCAWE","${symbolinfo.typespecs},defi"
"XTVCAXL","${symbolinfo.typespecs},defi"
"XTVCAXLFRXETH","${symbolinfo.typespecs},defi"
"XTVCAXLUSDC","${symbolinfo.typespecs},defi"
