Symbol|Security Name|Market Category|Test Issue|Financial Status|Round Lot Size|ETF|NextShares
AACB|Artius II Acquisition Inc. - Class A Ordinary Shares|G|N|N|100|N|N
AACBR|Artius II Acquisition Inc. - Rights|G|N|N|100|N|N
AACBU|Artius II Acquisition Inc. - Units|G|N|N|100|N|N
AACG|ATA Creativity Global - American Depositary Shares, each representing two common shares|S|N|N|100|N|N
AACI|Armada Acquisition Corp. II - Class A Ordinary Shares|G|N|N|100|N|N
AACIU|Armada Acquisition Corp. II - Units|G|N|N|100|N|N
AACIW|Armada Acquisition Corp. II - Warrant|G|N|N|100|N|N
AADR|AdvisorShares Dorsey Wright ADR ETF|G|N|N|100|Y|N
AAL|American Airlines Group, Inc. - Common Stock|Q|N|N|100|N|N
AALG|Leverage Shares 2X Long AAL Daily ETF|G|N|N|100|Y|N
AAME|Atlantic American Corporation - Common Stock|G|N|N|100|N|N
AAOI|Applied Optoelectronics, Inc. - Common Stock|G|N|N|100|N|N
AAON|AAON, Inc. - Common Stock|Q|N|N|100|N|N
AAPB|GraniteShares 2x Long AAPL Daily ETF|G|N|N|100|Y|N
AAPD|Direxion Daily AAPL Bear 1X Shares|G|N|N|100|Y|N
AAPG|Ascentage Pharma Group International - American Depository Shares|G|N|N|100|N|N
AAPL|Apple Inc. - Common Stock|Q|N|N|100|N|N
AAPU|Direxion Daily AAPL Bull 2X Shares|G|N|N|100|Y|N
AARD|Aardvark Therapeutics, Inc. - Common Stock|Q|N|N|100|N|N
AAUS|Alpha Architect US Equity ETF|G|N|N|100|Y|N
AAVM|Alpha Architect Global Factor Equity ETF|G|N|N|100|Y|N
AAXJ|iShares MSCI All Country Asia ex Japan ETF|G|N|N|100|Y|N
ABAT|American Battery Technology Company - Common Stock|S|N|N|100|N|N
ABCL|AbCellera Biologics Inc. - Common Shares|Q|N|N|100|N|N
ABCS|Alpha Blue Capital US Small-Mid Cap Dynamic ETF|G|N|N|100|Y|N
ABEO|Abeona Therapeutics Inc. - Common Stock|S|N|N|100|N|N
ABI|VictoryShares Pioneer Asset-Based Income ETF|G|N|N|100|Y|N
ABIG|Argent Large Cap ETF|G|N|N|100|Y|N
ABL|Abacus Global Management, Inc. - Class A Common Stock|S|N|N|100|N|N
ABLLL|Abacus Global Management, Inc. - 9.875% Fixed Rate Senior Notes due 2028|G|N|N|100|N|N
ABLV|Able View Global Inc. - Class B Ordinary Shares|S|N|N|100|N|N
ABLVW|Able View Global Inc. - Warrant|S|N|N|100|N|N
ABNB|Airbnb, Inc. - Class A Common Stock|Q|N|N|100|N|N
ABOS|Acumen Pharmaceuticals, Inc. - Common Stock|Q|N|N|100|N|N
ABP|Abpro Holdings, Inc - Common Stock|G|N|D|100|N|N
ABPWW|Abpro Holdings, Inc - Warrant|S|N|N|100|N|N
ABSI|Absci Corporation - Common Stock|Q|N|N|100|N|N
ABTC|American Bitcoin Corp. - Class A Common Stock|S|N|N|100|N|N
ABTS|Abits Group Inc - Ordinary Shares|S|N|N|100|N|N
ABUS|Arbutus Biopharma Corporation - Common Stock|Q|N|N|100|N|N
ABVC|ABVC BioPharma, Inc. - Common Stock|S|N|N|100|N|N
ABVE|Above Food Ingredients Inc. - Common Stock|G|N|E|100|N|N
ABVEW|Above Food Ingredients Inc. - Warrant|G|N|E|100|N|N
ABVX|Abivax SA - American Depositary Shares|G|N|N|100|N|N
ACAD|ACADIA Pharmaceuticals Inc. - Common Stock|Q|N|N|100|N|N
ACB|Aurora Cannabis Inc. - Common Shares|S|N|N|100|N|N
ACDC|ProFrac Holding Corp. - Class A Common Stock|Q|N|N|100|N|N
ACET|Adicet Bio, Inc. - Common Stock|G|N|D|100|N|N
ACFN|Acorn Energy, Inc. - Common Stock|S|N|N|100|N|N
ACGL|Arch Capital Group Ltd. - Common Stock|Q|N|N|100|N|N
ACGLN|Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G|Q|N|N|100|N|N
ACGLO|Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F|Q|N|N|100|N|N
ACHC|Acadia Healthcare Company, Inc. - Common Stock|Q|N|N|100|N|N
ACHV|Achieve Life Sciences, Inc.  - Common Shares|S|N|N|100|N|N
ACIC|American Coastal Insurance Corporation - Common Stock|S|N|N|100|N|N
ACIU|AC Immune SA - Common Stock|G|N|N|100|N|N
ACIW|ACI Worldwide, Inc. - Common Stock|Q|N|N|100|N|N
ACLS|Axcelis Technologies, Inc. - Common Stock|Q|N|N|100|N|N
ACLX|Arcellx, Inc. - Common Stock|Q|N|N|100|N|N
ACMR|ACM Research, Inc. - Class A Common Stock|G|N|N|100|N|N
ACNB|ACNB Corporation - Common Stock|S|N|N|100|N|N
ACNT|Ascent Industries Co. - Common Stock|G|N|N|100|N|N
ACOG|Alpha Cognition Inc. - Common Stock|S|N|N|100|N|N
ACON|Aclarion, Inc. - Common Stock|S|N|N|100|N|N
ACONW|Aclarion, Inc. - Warrant|S|N|N|100|N|N
