SYMBOL_SERIES,SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,
SATKARTAR.ST,SATKARTAR,Sat Kartar Shopping Limited,ST,17-Jan-25,10,INE0NB801022,10,
DELTIC.ST,DELTIC,Delta Autocorp Limited,ST,14-Jan-25,10,INE0XRN01019,10,
ANYA.SM,ANYA,Anya Polytech & Fertilizers Limited,SM,02-Jan-25,2,INE0SI601032,2,
NMSTEEL.SM,NMSTEEL,Newmalayalam Steel Limited,SM,27-Dec-24,10,INE0TP801012,10,
IDENTICAL.SM,IDENTICAL,Identical Brains Studios Limited,SM,26-Dec-24,10,INE0TD101011,10,
SFML.SM,SFML,Supreme Facility Management Limited,SM,18-Dec-24,10,INE0U6N01014,10,
PURPLEUTED.SM,PURPLEUTED,Purple United Sales Limited,SM,18-Dec-24,10,INE0P5R01014,10,
DHANLAXMI.ST,DHANLAXMI,Dhanlaxmi Crop Science Limited,ST,16-Dec-24,10,INE0V9V01010,10,
ETML.SM,ETML,Emerald Tyre Manufacturers Limited,SM,12-Dec-24,10,INE0RHD01013,10,
GANESHIN.SM,GANESHIN,Ganesh Infraworld Limited,SM,06-Dec-24,5,INE0TVT01024,5,
AGARWALTUF.SM,AGARWALTUF,Agarwal Toughened Glass India Limited,SM,05-Dec-24,10,INE0P8X01016,10,
APEXECO.SM,APEXECO,Apex Ecotech Limited,SM,04-Dec-24,10,INE0T4V01015,10,
ABHAPOWER.ST,ABHAPOWER,Abha Power and Steel Limited,ST,04-Dec-24,10,INE0UYG01015,10,
RAJPUTANA.SM,RAJPUTANA,Rajputana Biodiesel Limited,SM,03-Dec-24,10,INE0VHU01019,10,
C2C.SM,C2C,C2C Advanced Systems Limited,SM,03-Dec-24,10,INE0U7V01015,10,
LAMOSAIC.ST,LAMOSAIC,Lamosaic India Limited,ST,29-Nov-24,10,INE0R0201012,10,
ONYX.ST,ONYX,Onyx Biotec Limited,ST,22-Nov-24,10,INE0WVU01018,10,
NEELAM.ST,NEELAM,Neelam Linens and Garments (India) Limited,ST,18-Nov-24,10,INE0N1401016,10,
USHAFIN.SM,USHAFIN,Usha Financial Services Limited,SM,31-Oct-24,10,INE0LS001014,10,
UHTL.ST,UHTL,United Heat Transfer Limited,ST,29-Oct-24,10,INE0SMR01011,10,
OBSCP.ST,OBSCP,OBSC Perfection Limited,ST,29-Oct-24,10,INE0YHV01011,10,
DANISH.SM,DANISH,Danish Power Limited,SM,29-Oct-24,10,INE0YU901016,10,
PREMIUM.SM,PREMIUM,Premium Plast Limited,SM,28-Oct-24,10,INE0M1F01011,10,
FRESHARA.ST,FRESHARA,Freshara Agro Exports Limited,ST,24-Oct-24,10,INE0SFW01015,10,
LAKSHYA.SM,LAKSHYA,Lakshya Powertech Limited,SM,23-Oct-24,10,INE0VZS01015,10,
PRANIK.SM,PRANIK,Pranik Logistics Limited,SM,17-Oct-24,10,INE0VJG01014,10,
PARAMOUNT.SM,PARAMOUNT,Paramount Dye Tec Limited,SM,08-Oct-24,10,INE0TG801013,10,
SAJHOTELS.SM,SAJHOTELS,Saj Hotels Limited,SM,07-Oct-24,10,INE00MT01022,10,
HVAX.ST,HVAX,HVAX Technologies Limited,ST,07-Oct-24,10,INE0TO501019,10,
SAHASRA.SM,SAHASRA,Sahasra Electronic Solutions Limited,SM,04-Oct-24,10,INE0RBQ01018,10,
FORGEAUTO.SM,FORGEAUTO,Forge Auto International Limited,SM,04-Oct-24,10,INE0YKW01013,10,
DIVYADHAN.SM,DIVYADHAN,Divyadhan Recycling Industries Limited,SM,04-Oct-24,10,INE0QYI01019,10,
UNILEX.SM,UNILEX,Unilex Colours and Chemicals Limited,SM,03-Oct-24,10,INE0B2801011,10,
THESL.ST,THESL,Thinking Hats Entertainment Solutions Limited,ST,03-Oct-24,10,INE0SHE01019,10,
TECHERA.ST,TECHERA,TechEra Engineering (India) Limited,ST,03-Oct-24,10,INE0JQS01019,10,
WOL3D.SM,WOL3D,Wol 3D India Limited,SM,30-Sep-24,10,INE0OO201011,10,
RAPPID.ST,RAPPID,Rappid Valves (India) Limited,ST,30-Sep-24,10,INE0MVO01012,10,
SDREAMS.SM,SDREAMS,S D Retail Limited,SM,27-Sep-24,10,INE0X6F01017,10,
PHOGLOBAL.ST,PHOGLOBAL,Phoenix Overseas Limited,ST,27-Sep-24,10,INE0FPO01018,10,
BIKEWO.SM,BIKEWO,Bikewo Green Tech Limited,SM,27-Sep-24,10,INE0SQH01013,10,
AVIANSH.ST,AVIANSH,Avi Ansh Textile Limited,ST,27-Sep-24,10,INE0TFB01017,10,
KALANA.SM,KALANA,Kalana Ispat Limited,SM,26-Sep-24,10,INE0T0L01014,10,
PSFL.SM,PSFL,Paramount Speciality Forgings Limited,SM,25-Sep-24,10,INE0Q6001012,10,
PELATRO.ST,PELATRO,Pelatro Limited,ST,24-Sep-24,10,INE0VG601013,10,
OSELDEVICE.ST,OSELDEVICE,Osel Devices Limited,ST,24-Sep-24,10,INE0RMF01018,10,
ENVIRO.SM,ENVIRO,Envirotech Systems Limited,SM,24-Sep-24,10,INE0SUH01015,10,
DECCANTRAN.ST,DECCANTRAN,Deccan Transcon Leasing Limited,ST,24-Sep-24,10,INE0S7C01019,10,
EXCELLENT.SM,EXCELLENT,Excellent Wires and Packaging Limited,SM,19-Sep-24,10,INE0Y4801011,10,
INNOMET.SM,INNOMET,Innomet Advanced Materials Limited,SM,18-Sep-24,10,INE0S1D01010,10,
SPPPOLY.ST,SPPPOLY,SPP Polymer Limited,ST,17-Sep-24,10,INE0QR801013,10,
SHUBHSHREE.ST,SHUBHSHREE,Shubhshree Biofuels Energy Limited,ST,16-Sep-24,10,INE0UL701015,10,
GAJANAND.ST,GAJANAND,Gajanand International Limited,ST,16-Sep-24,10,INE0QTE01018,10,
AUSL.SM,AUSL,Aditya Ultra Steel Limited,SM,16-Sep-24,10,INE01YQ01013,10,
VIESL.SM,VIESL,Vision Infra Equipment Solutions Limited,SM,13-Sep-24,10,INE0TR001017,10,
MYMUDRA.SM,MYMUDRA,My Mudra Fincorp Limited,SM,12-Sep-24,10,INE0RVQ01016,10,
NAMOEWASTE.ST,NAMOEWASTE,Namo eWaste Management Limited,ST,11-Sep-24,10,INE08NZ01012,10,
JEYYAM.SM,JEYYAM,Jeyyam Global Foods Limited,SM,09-Sep-24,5,INE0RXB01022,5,
BOSS.ST,BOSS,Boss Packaging Solutions Limited,ST,06-Sep-24,10,INE0QNI01012,10,
PARAMATRIX.SM,PARAMATRIX,Paramatrix Technologies Limited,SM,04-Sep-24,10,INE0S2W01018,10,
AERON.SM,AERON,Aeron Composite Limited,SM,04-Sep-24,10,INE0WL801011,10,
VDEAL.SM,VDEAL,Vdeal System Limited,SM,03-Sep-24,10,INE0U2M01015,10,
JAYBEE.ST,JAYBEE,Jay Bee Laminations Limited,ST,03-Sep-24,10,INE0SMY01017,10,
IPHL.ST,IPHL,Indian Phosphate Limited,ST,03-Sep-24,10,INE0DHF01018,10,
QVCEL.ST,QVCEL,QVC Exports Limited,ST,28-Aug-24,10,INE0KZF01015,10,
IDEALTECHO.SM,IDEALTECHO,Ideal Technoplast Industries Limited,SM,28-Aug-24,10,INE0T9I01011,10,
FORCAS.ST,FORCAS,Forcas Studio Limited,ST,26-Aug-24,10,INE0U2501017,10,
BRACEPORT.ST,BRACEPORT,Brace Port Logistics Limited,ST,26-Aug-24,10,INE0R4Z01018,10,
BALCO.ST,BALCO,Solve Plastic Products Limited,ST,21-Aug-24,10,INE0U0201016,10,
SUNLITE.SM,SUNLITE,Sunlite Recycling Industries Limited,SM,20-Aug-24,10,INE0U2N01013,10,
POSITRON.ST,POSITRON,Positron Energy Limited,ST,20-Aug-24,10,INE0S3H01017,10,
AESTHETIK.SM,AESTHETIK,Aesthetik Engineers Limited,SM,16-Aug-24,10,INE0TSF01011,10,
PPSL.SM,PPSL,Picturepost Studios Limited,SM,09-Aug-24,1,INE0YAL01017,1,
DHARIWAL.SM,DHARIWAL,Dhariwalcorp Limited,SM,08-Aug-24,10,INE0YRN01017,10,
UTSSAV.ST,UTSSAV,Utssav CZ Gold Jewels Limited,ST,07-Aug-24,10,INE06IJ01010,10,
SSEGL.SM,SSEGL,Sathlokhar Synergys E&C Global Limited,SM,06-Aug-24,10,INE0RFP01011,10,
RAJINDLTD.SM,RAJINDLTD,Rajputana Industries Limited,SM,06-Aug-24,10,INE0PCU01012,10,
BULKCORP.SM,BULKCORP,Bulkcorp International Limited,SM,06-Aug-24,10,INE0SZ301012,10,
ASHALOG.ST,ASHALOG,Ashapura Logistics Limited,ST,06-Aug-24,10,INE0LAA01017,10,
SATECH.ST,SATECH,S A Tech Software India Limited,ST,02-Aug-24,10,INE0BSN01013,10,
ESPRIT.ST,ESPRIT,Esprit Stones Limited,ST,02-Aug-24,10,INE0SBP01018,10,
TROM.SM,TROM,Trom Industries Limited,SM,01-Aug-24,10,INE0SYV01018,10,
